  ,Water Temperature (C) ,Sample Depth ,Specific Conductance ,Water Turbidity ,TDS ,Dissolved Oxygen mg/L ,Water pH,,,,,,,
Date ,Value,Samples ,Value,Samples ,Value,Samples ,Value,Samples ,Value,Samples ,Value,Samples ,Value,Samples
1/1/2023,17.08,96,0.25,96,78.99,96,42.34,96,51.35,96,5.74,96,6.3,96
1/2/2023,17.7,96,0.22,96,84.95,96,35.54,96,55.23,96,5.57,96,6.28,96
1/3/2023,18.43,96,0.21,96,89.56,96,35.69,96,58.21,96,5.25,96,6.25,96
1/4/2023,18.21,96,0.29,96,98.16,96,37.98,96,63.78,96,5.01,96,6.28,96
1/5/2023,17.28,96,0.35,96,104.79,96,42.04,96,68.12,96,5.09,96,6.32,96
1/6/2023,16.43,96,0.34,96,104.7,96,44.57,96,68.3,96,5.32,96,6.35,96
1/7/2023,16.22,96,0.31,96,107.8,96,45.33,96,70.12,96,5.57,96,6.38,96
1/8/2023,16.41,96,0.33,96,119.05,96,45.38,96,77.38,96,5.74,96,6.45,96
1/9/2023,16.38,96,0.34,96,126.4,96,50.1,96,82.14,96,6.11,96,6.56,96
1/10/2023,15.96,96,0.34,96,135.17,96,46.17,96,87.85,96,6.3,96,6.55,96
1/11/2023,16.39,96,0.28,96,123.1,96,49.07,96,79.95,96,6.63,96,6.5,96
1/12/2023,17.22,96,0.32,96,110.43,96,49.05,96,71.85,96,6.43,96,6.47,96
1/13/2023,16.44,96,0.38,96,119,96,50.42,96,77.43,96,6.26,96,6.51,96
1/14/2023,15.25,96,0.37,96,122.06,96,49.58,96,79.52,96,6.4,96,6.56,96
1/15/2023,14.38,96,0.28,96,123.34,96,47.38,96,80.05,96,6.65,96,6.57,96
1/16/2023,14.29,96,0.21,96,126.58,96,45.92,96,82.31,96,6.79,96,6.58,96
1/17/2023,14.65,96,0.2,96,129.58,96,44.47,96,84.2,96,6.75,96,6.59,96
1/18/2023,15.85,96,0.2,96,135.46,96,43.46,96,88.09,96,6.78,96,6.63,96
1/19/2023,16.6,96,0.29,96,167.38,96,46.97,96,108.82,96,6.23,96,6.73,96
1/20/2023,15.89,96,0.34,96,157.44,96,45.34,96,102.3,96,5.75,96,6.65,96
1/21/2023,15.62,96,0.28,96,162.39,96,44.97,96,105.52,96,5.37,96,6.63,96
1/22/2023,13.69,96,0.29,96,158.71,96,56.67,96,103.12,96,7.39,96,6.71,96
1/23/2023,12.38,96,0.34,96,125.9,96,54.86,96,81.88,96,8.23,96,6.58,96
1/24/2023,12.19,88,0.26,93,110.51,88,62.04,93,71.88,88,8.32,36,6.49,88
1/25/2023,12.35,96,0.35,96,70.84,96,75.58,96,46.05,96,N/A,0,6.24,96
1/26/2023,11.14,96,0.51,96,60.04,96,53.61,96,39.03,96,N/A,0,6,96
1/27/2023,10.48,96,0.51,96,56.26,96,40.19,96,36.51,96,N/A,0,5.91,96
1/28/2023,10.8,96,0.44,96,55.17,96,36,96,35.72,96,N/A,0,5.85,96
1/29/2023,12.32,96,0.39,96,54.81,96,42.85,96,35.9,96,N/A,0,5.92,96
1/30/2023,13.86,96,0.47,96,53.64,96,43.2,96,35.02,96,N/A,0,5.93,96
1/31/2023,13.17,96,0.41,96,51.48,96,38.6,96,33.43,96,N/A,0,5.82,96
